Do Not Publish	Business Owner Name	Business Name	Street Number	Street Name	Suite Number	P.O. Box Number	PMB Number	City	State	 Zip 	 Home Based 	 Primary NAICS #	 NAICS Description 	 New Business? 	Business Start	Business Expiration	Ownership Type	# Employees	Council District	Business Community	BID	BID Description
N	1CEHOUSE LLC	1CEHOUSE LLC	6210	EL CAJON BLVD 				SAN DIEGO	CA	92115-3916	N	711	MUSIC ENTERTAINMENT	N	3/26/2019	3/31/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	CCTC INVESTMENTS	1ST CHOICE MEDICAL GROUP	6244	EL CAJON BLVD 	29			SAN DIEGO	CA	92115-3918	N	621999	HEALTH PRACTITIONER	N	7/1/2019	6/30/2021	SCORP	1	9	COLLEGE AREA	21	COLLEGE AREA
N	21 TEA GROUP LLC	21 TEA GROUP LLC	6353	EL CAJON BLVD 	134			SAN DIEGO	CA	92115-5571	N	722213	TEA AND COFEE SHOP	N	12/1/2017	11/30/2020	LLC	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BANG BALCONY LLC	225IVE / BANG BALCONY LLC	6345	EL CAJON BLVD 	2212			SAN DIEGO	CA	92115-5571	Y	5121	VIDEO PRODUCTION, MARKETING,  COMMERCIAL DRONE SERVICES	N	2/22/2018	2/28/2021	LLC	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	H&K INVESTMENT GROUP LLC	3 KINGS AUTO	7057	EL CAJON BLVD 				SAN DIEGO	CA	92115-1825	N	4411	CAR DEALERSHIP ( RETAIL)	N	7/24/2018	7/31/2021	LLC	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	30NP LLC	30NP LLC	5700	EL CAJON BLVD 				SAN DIEGO	CA	92115-3737	N	53112	COMMERCIAL REAL ESTATE	N	4/30/2018	4/30/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
N	H&K INVESTMENT GROUP LLC	3KINGS HOOKAH LOUNGE	7059	EL CAJON BLVD 				SAN DIEGO	CA	92115-1825	N	453991	LOUNGE WHERE PEOPLE SMOKE HOOKAH.	N	4/5/2014	4/30/2021	LLC	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	5 ELEMENTS MARTIAL ARTS WELLNESS CENTER LLC	5 ELEMENTS MARTIAL ARTS WELLNESS CENTER LLC	7036	EL CAJON BLVD 	2			SAN DIEGO	CA	92115-1824	N	81299	MARTIAL ARTS STUDIO	N	12/1/2016	11/30/2020	LLC	3	9	COLLEGE AREA	21	COLLEGE AREA
N	5 STARS KITCHEN AND BATH	5 STARS KITCHEN AND BATH	6822	EL CAJON BLVD 				SAN DIEGO	CA	92115-1724	N	56179	KITCHEN AND BATH REMODEL	N	10/1/2019	9/30/2021	CORP	2	9	COLLEGE AREA	21	COLLEGE AREA
N	55 THAI KITCHEN LLC	55 THAI KITCHEN	5157	COLLEGE AVE 	A			SAN DIEGO	CA	92115-2442	N	722211	FAST CASUAL RESTAURANT TAKE-OUT RESTAURANT	N	4/1/2018	3/31/2021	LLC	7	9	COLLEGE AREA	21	COLLEGE AREA
